1, 13.7485
2, 13.7484
3, 13.7449
4, 13.7466
5, 13.7506
6, 13.7489
7, 13.7519
8, 13.7475
9, 13.7463
10, 13.7836
11, 13.8396
12, 13.8472
13, 13.8597
14, 13.865
15, 13.8672
16, 13.8472
17, 13.8391
18, 13.8206
19, 13.7964
20, 13.7304
21, 13.713
22, 13.7338
23, 13.7374
24, 14.0349
25, 14.3254
26, 15.0714
27, 9.19021
28, 5.78505
29, 19.705
30, 27.5736
31, 32.3061
32, 32.6361
33, 32.828
34, 33.2964
35, 33.2812
36, 33.3424
37, 33.7435
38, 33.6426
39, 33.6304
40, 33.9847
41, 33.8322
42, 33.8296
43, 34.0851
44, 33.9169
45, 33.9332
46, 34.1946
47, 34.0242
48, 34.0444
49, 34.3123
50, 34.123
51, 34.1409
52, 34.4075
53, 34.1996
54, 34.242
55, 34.4782
56, 34.269
57, 34.3246
58, 34.5486
59, 34.3252
60, 34.3986
61, 34.6091
62, 34.3799
63, 34.4638
64, 34.6578
65, 34.4318
66, 34.5331
67, 34.7009
68, 34.4823
69, 34.5936
70, 34.7498
71, 34.5263
72, 34.6453
73, 34.7803
74, 34.5654
75, 34.6906
76, 34.8077
77, 34.6006
78, 34.7393
79, 34.8351
80, 34.6411
81, 34.7908
82, 34.8668
83, 34.6727
84, 34.8309
85, 34.8853
86, 34.7119
87, 34.8771
88, 34.9035
89, 34.7459
90, 34.9155
91, 34.9245
92, 34.778
93, 34.9588
94, 34.9468
95, 34.8211
96, 34.9895
97, 34.9631
98, 34.8523
99, 35.0292
100, 34.9772
101, 34.8852
102, 35.0557
103, 34.9905
104, 34.9178
105, 35.0845
106, 35.0044
107, 34.9525
108, 35.1115
109, 35.0162
110, 34.9828
111, 35.1356
112, 35.031
113, 35.0156
114, 35.1539
115, 35.0432
116, 35.0485
117, 35.1729
118, 35.0559
119, 35.0766
120, 35.1891
121, 35.0665
122, 35.1091
123, 35.1993
124, 35.0839
125, 35.1363
126, 35.211
127, 35.0985
128, 35.1696
129, 35.2258
130, 35.1171
131, 35.1953
132, 35.238
133, 35.135
134, 35.2242
135, 35.2499
